Auteur(s),Titre,Edition,Date,ISBN
De Ludovic Coué,Tumulus,Le Manuscrit,2005,9782748160581
"techniques, méthodes et sujets corrigés",Le concours de Catégorie A,Dunod,244,"
Dunod
"
roman,Qumran / roman,Albin Michel,2001,9782226125941
De Germaine Greer,Sexe et destinée,Grasset,446,"
Grasset
"
De Ludmila Charles-Wurtz,Poétique du sujet lyrique dans l'oeuvre de Victor Hugo,Honoré Champion,2000,9782852036611
De Jean-Luc Marcastel,1 - Louis Le Galoup T1: Le Village Au Bout Du Monde,Les 3 Epis,"
Louis le galoup
                
                (1)
              ",LES 3 EPIS
"concours commun Aix-en-Provence, Lille, Lyon, Rennes, Strasbourg, Toulouse",IEP 2008 - Questions de culture générale. L'environnement -  Les identités,Editions Ellipses,2008,9782729838461
Code D'Origine : Ft1189,"Coedition vingt objets en rabane, raphia et ficelle",Flammarion,301 g,"
Flammarion
"
breton stephane,Hommes nommes brume (Des),Arthaud,2008,9782700308921
Sedrap,Atlas Les Reporters Du Monde,Sedrap,2008,9782758106661
"un homme, une oeuvre, un auteur",Calvin,Infolio,2009,9782884740401
De Robert Swindells,Sans abri,Traduit par Aalam Wassef,2003,9782070556311
roman,Le jeune homme au téléphone,Robert Laffont,1999,9782221083031
De Frank Deroche,Le Chien endormi,Éditions du Rocher,2008,9782268066431
Illustrations de Julien Clapot,Pochoir facile,Inédite,2007,9782350320731
Sur les Chemins d'Emmaus,Rencontres d'Automne,Le Bord de l'eau,2008,9782356870131
(1672-1722),Lettres,Préface de Pierre Gascar,1985,9782715213821
récit,"Robert, mon frère",Traduit par Josette Chicheportiche,2000,9782715222021
De Frédéric Toussaint,La Cachette magique d'ahram Waoune,Illustrations de Anne Romby,1998,9782742719341
Xxx,Sante d'Orazio Private View /anglais,Schirmer-Mosel,2006,9783829602471
Beckouche Pierre / Richard Yann '',Atlas D'Une Nouvelle Europe,Autrement,2005,9782746707801
Du global au local,Socioeconomie De La Proximite - Du Global Au Local,L'Harmattan,2005,9782747584241
De Yves Bonnet,Lettre à une Algerienne,Boite Documents,1998,9782843160141
"Pol, Didier",SVT 1re S / les repères essentiels,Rue des écoles,48,"
Rue des écoles
"
Xxx,Londres - Excursion Au Château De Windsor,Nelles,96,"
Nelles
"
De Fabrice Colin,2 - Duel Masters 2 - Double jeu,Bibliothèque rose et Bibliothèque verte,2005,9782012010161
De Stephen Desberg,"Tif et Tondu

37 - Les Phalanges de Jeanne d'Arc",Illustrations de Will,1988,9782800115641
De Walt Disney company,L'école la première fois,Traduit par Marianne Costa,21 x 21 cm,"
Disney Hachette
"
De Katie Daynes,Vivre Dans L'Espace,"Illustrations de Christyan Fox, Alex Pang","21 x 15,2 x 0,6 cm",usborne
"un an de reportage littéraire à "" Libération """,Trans,Seuil,1984,9782020068741
"Pesch Jean-Louis, Pesch Jean-Louis",Sylvain et Sylvette - Tome 13 - Le Mot de passe,Dargaud,2007,9782205053791
De Apsines Gadarenus,Art rhétorique. Problèmes à faux-semblant,Édité par Michel Patillon,2001,9782251004921
"Édité par Michel Lemoine, Clotilde Picard-Parra",Théologie et cosmologie au XIIème siècle,Les Belles Lettres,2004,9782251181011
"De Aménagement, développement, recherche, études, Bureau d'études d'aménagements urbains",Économie de la construction à Kinshasa,"Dirigé par Philippe Delis, Christian Girard",2004,9782858029181
"De Marie-Pierre Haetty, Philippe Haetty",des fetes et des fleurs,Illustrations de Annabelle Rose,24 x 24 cm,"
Dormonval
"
Xxx,Visages de la mort en Corse dans le roman du XVIIIe siècle à nos jours,Alain Piazzola,2004,9782907161091
Xxx,Bougie Aromatique - Pomme Rouge,DG-Exodif,363 g,8412129942871
De Andre Jalenques,La nature... un chemin,Le Manuscrit,2008,9782304011241
"chronique de politique économique, 1974-1981","Quand la France était libérale - chronique de politique économique, 1974-1981",Économica,1986,9782717811551
