titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
La décentralisation 30 ans après;;Ouvrage;Collectif;Toulouse;Presses de l'Université de Toulouse 1 Capitole;2013;978-2-361-70067-6;;;323 P.;TRAVAUX DE L'IFR;;241 COL;ADMINISTRATION/INSTITUTION/DECENTRALISATION/COLLECTIVITES TERRITORIALES/PREFET/CONSEIL CONSTITUTIONNEL/CONTROLE DE LEGALITE/CHAMBRE REGIONALE DES COMPTES/REGION/DEMOCRATIE LOCALE/PRINCIPE DE LIBRE ADMINISTRATION/FONCTION PUBLIQUE LOCALE/REFORME ADMINISTRATIVE/LOI DU 2 MARS 1982/POLITIQUE LOCALE/TRANSFERT DE COMPETENCES/LOI DU 16 DECEMBRE 2010/INTERCOMMUNALITE/COOPERATION DECENTRALISEE/HISTOIRE;;;;2014-07-31
Métamorphose des managers à l'ère du numérique et de l'intelligence artificielle;;Ouvrage;DEJOUX Cécile/LEON Emmanuelle;Montreuil;Pearson;2018;978-2-326-00146-6;;;229 p.;;;1414 DEJ;MANAGEMENT/NUMERIQUE/INNOVATION/INTELLIGENCE ARTIFICIELLE/TRANSFORMATION NUMERIQUE/MANAGER DU CHANGEMENT/MANAGER/MANAGER AGILE/DESIGN THINKING/DESIGNER/TRAVAIL COLLECTIF/TRAVAIL COLLABORATIF/TIERS-LIEUX/ROBOT/TELETRAVAIL/FAB LABS/OPEN SPACE/COWORKING;;;;2018-07-19
Face aux gens de mauvaise foi;Ne laissez personne abuser de votre confiance;Ouvrage;MAGNIN Hervé;Paris;Eyrolles;2013;978-2-212-55713-8;;;195 P.;COMMNUNICATION CONSCIENTE;;70 MAG;SCIENCES HUMAINES/COMMUNICATION/RELATIONS HUMAINES/BONNE FOI/MAUVAISE FOI/MOT/CONFIANCE EN SOI/MANIPULATION/DISCERNEMENT/FIABILITE/COMPORTEMENT/COMPORTEMENT PERSONNEL/STRATEGIE COMPORTEMENTALE/MOTIVATION/EMPATHIE/ECOUTE;;;;2014-05-19
Financement de l'action publique;Mobiliser et explorer des ressources alternatives;Ouvrage;CLOIX Pierre-Manuel/RANJINEH Solmaz/RODIER Anne Lise;Voiron;Territorial Editions;2017;978-2-8186-1341-2;;;123 p.;;;27 CLO;ACTION PUBLIQUE/FINANCES PUBLIQUES/FINANCEMENT PARTICIPATIF/GESTION DU PATRIMOINE/TARIF/USAGER/COVOITURAGE/MECENAT/DON;;;;2018-04-19
Risques psychosociaux au travail;Vraies questions Bonnes réponses;Ouvrage;GRASSET Yves/DEBOUT Michel/ROUAT Sabrina/BACHELARD Olivier;Rueil-Malmaison;Editions Liaisons;2011;978-2-87880-846-9;;Français;285 p.;LIAISONS SOCIALES;;144 GRA;RESSOURCES HUMAINES/RISQUE/RISQUE PSYCHOSOCIAL/MAL-ETRE/TRAVAIL/STRESS/HARCELEMENT/INSECURITE/SUICIDE;;;;2014-04-18
Intelligence artificielle et travail;Rapport à la ministre du Travail et au secrétariat d'Etat auprès du Premier ministre, chargé du numérique;Ouvrage format pdf;BENHAMOU Salima/JANIN Lionel;Paris;La Documentation française;2018;;;;85 p.;;;7252 BEN;TRAVAIL/INTELLIGENCE ARTIFICIELLE/INFORMATIQUE/TRANSITION NUMERIQUE;;;;2018-06-04
Désir de participations;;Dossier;Collectif;Paris;La Documentation française;2014;;;Français;p.51-131;POUVOIRS LOCAUX;N°100;2112 COL;POLITIQUE/DEMOCRATIE/DEMOCRATIE PARTICIPATIVE/DEMOCRATIE LOCALE/INNOVATION/CITOYENNETE/GOUVERNANCE/PARTICIPATION POLITIQUE/MONNAIE LOCALE/GALLECO/RESEAU SOCIAL/WEB/INTERNET/GOUVERNANCE TERRITORIALE;;;;2014-03-20
La communication en temps réel;Facebook Live, Twitter, Snapchat...Stratégies et outils du live !;Ouvrage;BABKINE Anthony/CHILA Emmanuel;Paris;Groupe Eyrolles;2017;978-2-212-56704-5;;;149 p.;;;7253 BAB;COMMUNICATION/RESEAU SOCIAL/LIVE/FACEBOOK/TWITTER/SNAPCHAT/MEDIA SOCIAL/DATA;;;;2019-01-22
M-tourisme et géolocalisation au service du développement touristique;;Ouvrage;;Voiron;Territorial Editions;2013;978-2-8186-0581-3;;;113 p.;DOSSIER D'EXPERTS;;62 BRU;TOURISME/COMMUNICATION/INTERNET/WEB 2.0/GEOLOCALISATION/OUTIL DE COMMUNICATION/MULTIMEDIA/MOBILE/COMMUNICATION MOBILE/MOBILITE/VOYAGE/PATRIMOINE/VALORISATION/VALORISATION DU PATRIMOINE/E-TOURISME/BIG DATA/CROWDSOURCING/COMMUNICATION TOURISTIQUE/EVALUATION;;;;2014-03-20
Les défis de la République;Genre, territoires, citoyenneté;Ouvrage;;Paris;Sciences po, les presses;2017;978-2-7246-1995-9;;;217 p.;;;222 PER;INSTITUTIONS/REPUBLIQUE/DROIT DE VOTE/PARITE/PARITE POLITIQUE/MARIAGE POUR TOUS/TRAITE DE MAASTRICHT/CITOYENNETE/ANCIEN REGIME/NOUVEAU REGIME/CONSERVATISME/DEMOCRATIE PARITAIRE/HOMOPARENTALITE/EGALITE DES SEXES/MAGHREB;;;;2018-01-29
Paris, France, Monde;Repenser l'économie par le territoire;Ouvrage;VELTZ PIERRE;Paris;Editions de l'Aube;2013;978-2-8159-0888-7;;;202 p.;AUBE POCHE ESSAI;;3122 VEL;AMENAGEMENT DU TERRITOIRE/PARIS/FRANCE/METROPOLE/VILLE/GRANDE AGGLOMERATION/ECONOMIE/METROPOLISATION;;;;2014-02-27
Communes nouvelles : une révolution territoriale silencieuse ?;;Dossier;;Paris;Documentation Française (la);2017;;0152-7401;;p.239-368;REVUE FRANCAISE D'ADMINISTRATION PUBLIQUE;;242 PAS;DECENTRALISATION/COMMUNE/COMMUNE NOUVELLE/FUSION DE COMMUNES/GOUVERNANCE TERRITORIALE;;N°162;;2017-11-20
Atlas des énergies;Quels choix pour quel développement ?;Ouvrage;BARRE Bertrand;Paris;Autrement;2007;978-2-7467-1025-2;;Français;79 p.;;;432 BAR;ATLAS/ENERGIE/ENERGIE FOSSILE/ENERGIE NUCLEAIRE/CONSOMMATION D'ENERGIE/ENERGIE RENOUVELABLE/TYPES D'ENERGIE;;;;2010-11-10
Pratique du droit de la presse;Presse écrite-Edition-Télévision-Radio-Internet;Manuel;BIGOT Christophe;Paris;Victoires;2017;979-10-97441-00-5;;;449 p.;LEGIPRESSE;;71 BIG;MEDIA/PRESSE/PRESSE ECRITE/DROIT DE LA PRESSE/EDITION/RADIO/TELEVISION/PUBLICITE/DROIT DE REPONSE/LOI DU 29 JUILLET 1881/NTIC/COMMERCE ELECTRONIQUE;;;;2017-10-25
Les grandes dates de l'histoire économique;;Ouvrage;VINDT Gérard;;Alternatives Economiques;2009;9-78915-879568;;Français;300 p.;Les petits matins;;4111 VIN;ECONOMIE/CAPITALISME/MERCANTILISME/HISTOIRE ECONOMIQUE;;;;2010-09-20
Finances publiques 2017;;Manuel;CHOUVEL François;Paris;Gualino;2017;978-2-297-06142-1;;;244 p.;MEMENTOS LMD;;27 CHO;BUDGET/FINANCES/FINANCES PUBLIQUES/LOI DE FINANCES/CONCOURS ADMINISTRATIF/CONCOURS;;;;2017-05-07
La mondialisation immatérielle;;Rapport;COHEN Daniel/VERDIER Thierry/;Paris;La Documentation française;2008;978-2-11-007276-4;;Français;219 p.;;;83 COH;MONDIALISATION/POLITIQUE ECONOMIQUE/ECONOMIE DE L'IMMATERIELLE/ECHANGES INTERNATIONAUX/CULTURE /LIVRE/INDUSTRIE DU LIVRE/MUSIQUE/CINEMA/TELEVISION/INFORMATIQUE/EVOLUTION DE  L'INFORMATIQUE/INDUSTRIE PHARMACEUTIQUE/PHARMACIE/PROPRIETE INTELLECTUELLE/NOUVELLES TECHNOLOGIES D'INFORMATION ET DE COMMUNICATION/BIEN IMMATERIEL/PROPRIETE INTELLECTUELLE/CONCURRENCE;;;;2010-01-07
Le bilan économique 2016Reprise confirmée dans les Pays dela Loire;;Revue;;Nantes;Insee Pays de la Loire;2017;;;;28 P.;INSEE CONJONCTURE;N°15;4112;ECONOMIE/PAYS DE LA LOIRE/BILAN ECONOMIQUE;;;;2017-04-07
Une nouvelle utopie culturelle en marche ?;Essai sur une autre vision de l'action cuturelle en Europe;Ouvrage;HURSTEL Jean;Toulouse;Editions de l'attribut;2009;9-782916-002149;;Français;139 p.;La culture en questions;;61 HUS;CULTURE/ACTION CULTURELLE/ESSAI;;;;2010-04-06
Demain, quel travail ?;;Dossier;Collectif;Paris;La Documentation française;2017;;0008-0217;;p.2-66;CAHIERS FRANCAIS;N°398;141 COL;EMPLOI/TRAVAIL/PROSPECTIVE/METIER/METIER DE DEMAIN/MUTATION DU TRAVAIL/TRAVAIL INDEPENDANT/NUMERISATION/INNOVATION TECHNOLOGIQUE/ENTREPRISE/FORMATION PROFESSIONNELLE/PRODUCTIVITE/COWORKING/CLOUD WORK/DEMOGRAPHIE/REVENU UNIVERSEL/TIC/PROTECTION SOCIALE;;N°398;Mai-juin 2017;2018-10-12
L'ENTREPRISE VERTE;Le développement durable change l'entreprise pour changer le monde.;Ouvrage;LAVILLE Elisabeth;Paris;Pearson Education;2009;978-2-7440-6335-0;;Français;404 p.;;;327 LAV;ENTREPRISE/ENVIRONNEMENT/ECOLOGIE/DEVELOPPEMENT DURABLE/ENTREPRISE VERTE/TECHNOLOGIE VERTE/COMMERCE EQUITABLE/ACHAT RESPONSABLE/RSE/RESPONSABILITE SOCIALE DES ENTREPRISES;;;;2010-01-06
Ramses 2017 : rapport annuel mondial sur le système économique et les stratégies;;Rapport;;Paris;Dunod;2016;978-2-10-074556-2;;;349 p.;;;83 MON;INTERNATIONAL/MONDE/RAPPORT/SYSTEME ECONOMIQUE/TERRORISME/MOYEN-ORIENT/RUSSIE/ASIE/ENERGIE/CANADA/ETATS UNIS/MIGRATION;;;;2017-08-02
La formation dans  la FPT;;Revue;VAURE Edith;Voiron;Territorial Editions;2017;;1252-9397;Français;Sp.;REPERES;N°12;252 VAU;FONCTION PUBLIQUE/FONCTION PUBLIQUE TERRITORIALE/CONCOURS/CONCOURS ADMINISTRATIF/CANDIDATURE/ORGANISATION/ADMISSION/CONCOURS SUR TITRE/RESULTAT/LISTE D'APTITUDE/FORMATION/CONGE DE FORMATION/CONGE INDIVIDUEL DE FORMATION/BILAN DE COMPETENCES;;;;2018-12-14
Culture territoriale 2018-2019;;Ouvrage;DERKENNE Marine/LECAT Donatien;Paris;Ellipses;2017;978-2-340-02068-9;;;366 p.;ACTU CONCOURS;;24 DER;ADMINISTRATION/COLLECTIVITES TERRITORIALES/ACTION LOCALE/POLITIQUE LOCALE/DEMOCRATIE LOCALE/ACTION PUBLIQUE LOCALE/CULTURE TERRITORIALE/CONCOURS/CONCOURS ADMINISTRATIF/URBANISME/DOMAINE PUBLIC/MANAGEMENT PUBLIC TERRITORIAL/DECENTRALISATION/INTERCOMMUNALITE/CONTROLE DE LEGALITE/RESPONSABILITE TERRITORIALE/AGENT TERRITORIAL/ELU LOCAL/SECURITE/POLICE ADMINISTRATIVE/POLITIQUE SOCIALE/HANDICAP/EXCLUSION/FONCTION PUBLIQUE TERRITORIALE/MODERNISATION;;;;2018-03-27
Gestion des conflits;La communication à l'épreuve;Ouvrage;PASTOR Pierre;Rueil-Malmaison;Editions Liaisons;2007;;;Français;204 p.;Entreprise&Carrières;;1414 PAS;RESSOURCES HUMAINES/GESTION DES CONFLITS/MANAGEMENT;;;;2009-06-04
Management des collectivités territoriales;Catégories A+ ET A;Ouvrage;RAGAIGNE Aurélien;Paris;Gualino;2016;978-2-297-04801-9;;;183 p.;FONCTION PUBLIQUE TERRITORIALE;;252 RAG;ADMINISTRATION/COLLECTIVITES TERRITORIALES/MANAGEMENT/MANAGEMENT PUBLIC/GPEC/RESSOURCES HUMAINES/QUALITE DE SERVICE/OUTIL DE MANAGEMENT/CHARTE DE QUALITE/SUPPORT DE COMMUNICATION/USAGER/OUTIL QUALITE/INDICATEUR DE SATISFACTION/EVALUATION/SERVICE PUBLIC/TABLEAU DE BORD D'ACTIVITE/TABLEAU DE BORD/POLITIQUE DE COMMUNICATION/SYSTEME D'INFORMATION/SUPPORT D'INFORMATION/FINANCES PUBLIQUES/COMPTABILITE PUBLIQUE/COMPTE ADMINISTRATIF/COMPTE FINANCIER/GESTION DE LA DETTE/ACHAT/INVESTISSEMENT PUBLIC/GESTION DES ACHATS/GESTION DU PATRIMOINE/GESTION DES STOCKS/CONCOURS/CONCOURS ADMINISTRATIF;;;;2016-12-19
Les paradoxes de la mobilité;Bouger, s'enraciner;Ouvrage;KAUFMANN Vincent;Lausanne;Presses polytechniques et universitaires romanes;2008;;;Français;115 p.;Le savoir suisse;;143 KAU;DEPLACEMENT PROFESSIONNEL/DEPLACEMENT URBAIN/MOBILITE RESIDENTIELLE/MOBILITE PROFESSIONNELLE/MOBILITE/INEGALITE SOCIALE/TRAFIC AUTOMOBILE/VILLE;;46;;2009-01-26
Intelligence collective;;Ouvrage format pdf;Collectif;Paris;ETE;2016;;0336-1446;;p.3-124;;;1414 COL;SOCIETE/SOCIAL/RESSOURCES HUMAINES/INTELLIGENCE COLLECTIVE/FAB LABS/BARCAMPS/LIVING LABS/CREATIVITE/REUNION;;N°332;Septembre-octobre 2016;2016-12-10
Construire durable;;Ouvrage;Collectif;Paris;Editions le Moniteur;2008;;;Français;192 p.;;Hors-série;327 COL;DEVELOPPEMENT DURABLE/ECOLOGIE/ENVIRONNEMENT/ENERGIE/URBANISME/DECHET/EAU/BATIMENT ET TRAVAUX PUBLICS/MAITRISE D'OEUVRE/MAITRISE D'OUVRAGE;;;mars-08;2008-12-16
Economie de la connaissance une dynamique métropolitaine ?;;Ouvrage;;Antony;Le Moniteur;2015;978-2-281-11964-0;;;298 p.;;;312 CAM;AMENAGEMENT DU TERRITOIRE/VILLE/URBANISME/PLATEFORME POPSU/CONNAISSANCE/ECONOMIE DE LA CONNAISSANCE/TERRITOIRE/CROISSANCE URBAINE/CROISSANCE/CROISSANCE ECONOMIQUE/METROPOLE/AIRE URBAINE/AIRE METROPOLITAINE/INNOVATION/DEVELOPPEMENT TERRITORIAL/CREATIVITE/SOCIETE/ECONOMIE DU SAVOIR;;;;2016-09-22
Géopolitique de l' aménagement du territoire;;Ouvrage;SUBRA Philippe;Paris;Armand Colin;2007;;;Français;327 p.;;;31 SUB;AMENAGEMENT DU TERRITOIRE/GEOPOLITIQUE/POLITIQUE DE L'AMENAGEMENT DU TERRITOIRE/REGIONALISATION;;;;2009-01-26
Petits départements et grandes régions;Proximité et stratégies;Ouvrage;LOEIZ Laurent;Paris;L'Harmattan;2011;978-2-296-13643-4;;;183 p.;;;24 LAU;INSTITUTIONS/INSTITUTIONS ADMINISTRATIVES/INSTITUTIONS LOCALES/REGION/DEPARTEMENT/PROVINCE/HISTOIRE/HISTOIRE POLITIQUE/REVOLUTION FRANCAISE/COLONIE/RAPPORT ATTALI/RAPPORT BALLADUR/CONSTITUTION/BRETAGNE/GUICHARD OLIVIER/DEBRE MICHEL/DECOUPAGE TERRITORIAL/COMITE BALLADUR/INTERCOMMUNALITE/PAYS/CONTRAT DE PAYS/COLLECTIVITE TERRITORIALE/COMMUNE NOUVELLE/METROPOLE/CLAUSE GENERALE DE COMPETENCE/NICOLAS SARKOZY/DATAR/PARLEMENT/1789/REGION PARISIENNE/CIRCONSCRIPTION ELECTORALE/PREFET DE REGION/DE GAULLE/CINQUIEME REPUBLIQUE/MISSION REGIONALE/ASSEMBLEE REGIONALE/CONSEILLER GENERAL/CONSEILLER REGIONAL/DECONCENTRATION/DECENTRALISATION/CHEF-LIEU/NANTES /ARRONDISSEMENT/LOIRE ATLANTIQUE/METROPOLE;;;;2016-07-25
Organisation et gestion de l'Education nationale;;Ouvrage;SIMON Jacky/CYTERMANN Jean-Richard/PERRITAZ Alain;Paris;Berger-Levrault;2008;;;Français;;Les indispensables;;511 SIM;EDUCATION NATIONALE/SYSTEME EDUCATIF/ORGANISATION/MISSION;;;;2008-10-23
Droit administratif;Cours Thèmes de réflexionCommentaires d'arrêts avec corrigés;Ouvrage;MORAND-DEVILLER Jacqueline;Paris;LGDJ,Lextenso éditions;2016;978-2-275-04251-0;;;807 P.;COURS;;2 MOR;ADMINISTRATION/DROIT ADMINISTRATIF/JURIDICTION ADMINISTRATIVE/PRESIDENT DE LA REPUBLIQUE/MINISTRE/PREMIER MINISTRE/ADMINISTRATION LOCALE/SERVICE DECONCENTRE DE L'ETAT/ACTE ADMINISTRATIF/AUTORITE ADMINISTRATIVE INDEPENDANTE/CONTRAT ADMINISTRATIF/SERVICE PUBLIC/POLICE ADMINISTRATIVE/ACTION ADMINISTRATIVE/PROCEDURE ADMINISTRATIVE/EXCES DE POUVOIR/CONTENTIEUX ADMINISTRATIF/VOIE DE RECOURS/RESPONSABILITE ADMINISTRATIVE/CONCOURS/CONCOURS ADMINISTRATIF;;;;2016-06-14
Livre vert sur l'évolution du métier d'enseignant;Rapport au ministre de l'Education Nationale;Ouvrage;POCHARD Marcel;Paris;La Documentation française;2008;;;Français;229 p;Rapports Officiels;;511 POC;ENSEIGNEMENT/ENSEIGNANT/METIER/EDUCATION NATIONALE;;;;2008-12-09
(Biens ) communs, quel avenir ?;Un enjeu stratégique pour l'économie sociale et solidaire;Ouvrage;THOME Pierre;Gap;Yves Michel éditions;2016;978-2-364-29074-7;;;125 p.;;;41 THO;ECONOMIE/ECONOMIE SOCIALE ET SOLIDAIRE/EAU/TERRE/ALIMENTATION/EAU POTABLE/BIEN COMMUN/SOL/RECHAUFFEMENT CLIMATIQUE/MONTAGNE/SCIC/SAVOIE;;;;2016-02-06
La République et ses territoires;La circulation invisible des richesses;Ouvrage;DAVEZIES Laurent;Paris;SEUIL (Editions du);2007;;;Français;110 p;;;3114 DAV;AMENAGEMENT DU TERRITOIRE/TERRITOIRE/POLITIQUE TERRITORIALE/INEGALITE DES REVENUS/DEVELOPPEMENT LOCAL/CROISSANCE ECONOMIQUE;;;;2008-03-20
La participation des usagers aux politiques publiques locales;Une volonté affichée...pour quelle réalité;Ouvrage;ROQUEFORT-COOK Katline;Paris;L'Harmattan;2015;978-2-343-05691-3;;;131 p.;;;21 ROQ;INSTITUTIONS/POLITIQUE/POLITIQUE PUBLIQUE/POLITIQUE PUBLIQUE LOCALE/USAGER/RELATIONS ADMINISTRATION USAGER/CITOYEN/RELATIONS COLLECTIVITE LOCALE CITOYEN/SERVICE PUBLIC/COLLECTIVITES TERRITORIALES;;;;2016-12-05
Industrie, jeunesse, territoire;Cinq thèmes d'une réflexion régionale;Ouvrage;CONSEIL ECONOMIQUE ET SOCIAL DES PAYS DE LA LOIRE;NANTES;Conseil Régional des Pays de la Loire/Conseil Economique et Social des Pays de la Loire;2007;;;;262 p;;;47 CES;INDUSTRIE/JEUNESSE/TERRITOIRE/AREONAUTIQUE/PREVENTION/SANTE/STAGE/PATRIMOINE/INTERREGIONALITE DE PROJET;;;;2007-12-21
Mode d'emploi. L'économie sociale & solidaire en région : agir pour le développement socio-économique et l'emploi local;;Ouvrage format pdf;;;Avise;2016;;;;28 p.;;;41 AVI;ECONOMIE/ECONOMIE SOCIALE ET SOLIDAIRE/ESS/EMPLOI;;;;2016-05-07
Aéroports : les enjeux d'une décentralisation-privatisation;;Article;BLACHE Charles;;;2007;;;;p.19-43;;;335 BLA;DECENTRALISATION/AEROPORT/PRIVATISATION/TRANSPORT AERIEN;;N°74;sept-07;2010-01-04
La régulation de la communication audiovisuelle;Enjeux et perspectives;Ouvrage;;Clermont Ferrand;Institut Universitaire Varenne;2015;978-2-370-32042-1;;;392 p.;COLLOQUES & ESSAIS;;71 REG;INFORMATION/COMMUNICATION/COMMUNICATION AUDIOVISUELLE/LIBERTE DE COMMUNICATION/LOI DU 29 JUILLET 1982/CONSEIL SUPERIEUR DE L'AUDIOVISUEL/MARCHE DE L'AUDIOVISUEL/MARCHE DE SERVICES/MEDIA/CONCURRENCE/REGULATION/REGULATION AUDIOVISUELLE/COLLOQUE/DROIT DE LA COMMUNICATION;;;;2016-03-29
Place publique 01;Nantes / Saint-Nazaire La revue urbaine;Revue;Collectif/Jouzeau Marie-Hélène/Croix Alain /Guyvarc'h Didier;La Mothe Achard;Joca Seria;2007;;;Français;160 p.;PLACE PUBLIQUE;;611 COL;CLASSE DU PATRIMOINE/CONSERVATEUR DU PATRIMOINE/PATRIMOINE/PATRIMOINE ARCHEOLOGIQUE/PATRIMOINE ARCHITECTURAL/PATRIMOINE CULTUREL/PATRIMOINE MARITIME/PATRIMOINE URBAIN/PROTECTION DU PATRIMOINE/CULTURE/MUSEE/ETRANGER/ARCHITECTURE/MISSION ARCHITECTURE ET ESPACES PROTEGES/METROPOLE/METROPOLE REGIONALE/NANTES-MARINE-TRADITIONS/HISTOIRE/REGION/NANTES/ST NAZAIRE/CHATEAU/MUSEE/;;1;janvier-fevrier 2007;2007-08-11
Inégalités;;Ouvrage;ATKINSON Anthony B.;Paris;Seuil;2016;978-2-02-129711-9;;;442 p.;ECONOMIE HUMAINE;;144 ATK;SOCIETE/QUESTIONS SOCIALES/INEGALITE DE RESSOURCES/INEGALITE DE RICHESSE/INEGALITE DE REVENU/INEGALITE DES CHANCES/INEGALITE SPATIALE/INEGALITE SOCIALE/CAPITAL/EMPLOI /IMPOT/ECONOMIE/MONDIALISATION;;;;2016-03-24
L'économie de la culture;;Ouvrage;BENHAMOU Françoise;Paris;Découverte (la);2004;;;;123 p.;Repères;;61 BEN;CULTURE/ECONOMIE CULTURELLE/ECONOMIE DE LA CULTURE/INDUSTRIE CULTURELLE/ECONOMIE CULTURELLE;;;;2006-07-21
Economie des arts et de la culture;;Ouvrage;MAIRESSE François/ROCHELANDET Fabrice;Paris;Armand Colin;2015;978-2-200-27741-3;;;271 p.;SCIENCES HUMAINES ET SOCIALES;;61 MAI;CULTURE/ECONOMIE CULTURELLE/BIEN CULTUREL/ART DE LA SCENE/PATRIMOINE/DON/INDUSTRIE CULTURELLE/DIVERSITE CULTURELLE/MARCHE CULTUREL/MARCHE DE L'ART/ART PLASTIQUE/ARTISTE/STAR/MUSEE/ART NUMERIQUE/NUMERIQUE;;;;2016-03-22
Culture en région;Perspectives territoriales pour la culture;Ouvrage;AUGUSTIN Jean-Pierre/LEFEBVRE Alain;Pessac;Maison des Sciences de l'Homme d'Aquitaine;2004;;;;297 p.;;;61 AUG;DEVELOPPEMENT CULTUREL/CULTURE/EQUIPEMENT CULTUREL/POLITIQUE CULTURELLE/REGION/DEVELOPPEMENT REGIONAL/DEVELOPPEMENT LOCAL/DEVELOPPEMENT TERRITORIAL;;;;2009-06-25
L'habitat participatif;De l'initiative habitante à l'action publique;Ouvrage;DEVAUX Camille;Rennes;Presses Universitaires de Rennes;2015;978-2-7535-3965-5;;;394 p.;GEOGRAPHIE SOCIALE;;313 DEV;URBANISME/CONSTRUCTION/LOGEMENT/HABITAT/HABITAT COOPERATIF/HABITAT COLLECTIF/HABITAT PARTICIPATIF/ESPACE COMMUN/POLITIQUE PUBLIQUE/GEOGRAPHIE SOCIALE;;;;2015-11-19
L'adaptation de la fonction publique française au droit communautaire;;Ouvrage;LEMOYNE DE FORGES Jean-Michel;Paris;DALLOZ;2003;;;;146 p.;Thèmes & commentaires;;25 LEM;FONCTION PUBLIQUE/DROIT COMMUNAUTAIRE/EUROPE/UNION EUROPEENNE;;;;2006-07-21
Le gouvernement des technosciences;Gouverner le progrès et ses dégâts depuis 1945;Ouvrage;;Paris;La découverte;2014;978-2-7071-7504-5;;;312 p.;RECHERCHES;;44 PES;RECHERCHE/TECHNOSCIENCE/PROGRES TECHNIQUE/SUBSTANCE CHIMIQUE/CHANGEMENT CLIMATIQUE/NEOLIBERALISME/SANTE/ENVIRONNEMENT/BIOSPHERE;;;;2015-11-17
La gestion de l'eau en France;;Dossier;FLORY Jean-Claude/CARPENTIER Alain/NAUGES Céline/REYNAUD Arnaud/THOMAS Alban/CONTI Maurizio;Paris;Documentation Française (la);2006;;;;;;;322 REY;GESTION DE L'EAU/EAU/POLITIQUE DE L'EAU;;2.900;mai-06;2006-12-18
Environnement et climat : comment mieux faire ?;;Article;Collectif;Paris;FUTURIBLES;2015;;0337-307X;;p.57-73;FUTURIBLES;;323 COL;ENVIRONNEMENT/CLIMAT/COP21/ECOLOGIE/POLLUTION/POLLUTION INDUSTRIELLE/ENERGIE/BIODIVERSITE/CONFERENCE DE RIO;;N°3119;Novembre-décembre 2015;2015-12-11
Pourquoi une loi de 1971 sur l'apprentissage ?;;Dossier;METAIS Guy/Actualité de la Formation Permanente;;;2005;;;;p. 115-121;;;531 MET;APPRENTISSAGE/LOI/LEGISLATION/HISTORIQUE;;194;01/02/2005;2006-05-01
On achève bien les jeunes;;Ouvrage;SPITZ Bernard;Paris;Grasset;2015;;;;;;;13 SPI;SCIENCES HUMAINES/SOCIETE/POPULATION/JEUNE/JEUNESSE/POLITIQUE DE LA JEUNESSE/DEMOGRAPHIE/INEGALITE SOCIALE/EDUCATION/EMPLOI DES JEUNES/EMPLOI/CITOYENNETE/ENSEIGNEMENT PROFESSIONNEL/SANTE;;;;2015-10-19
Chambres avec vues;Deux cents ans d'histoire économique de l'Anjou 1804-2004;OUVRAGE;OGHINA-PAVIE Cristiana;Angers;CCI d'Angers;2004;;;;199 p.;;;45 OGH;MAINE ET LOIRE/ANGERS/ENTREPRISE/CHAMBRE DE COMMERCE/ORGANISATION PROFESSIONNELLE/HISTORIQUE/EVOLUTION;;;;2005-07-10
La sociologie en 20 questions;;Revue;Collectif;Paris;Alternatives Economiques;2015;978-2-352-40136-0;;;98 p.;ALTERNATIVES ECONOMIQUES DOSSIERS;N°2;14 COL;SOCIETE/QUESTIONS SOCIALES/QUESTIONS DE SOCIETE/VIE SOCIALE/SOCIOLOGIE/DEBAT SOCIAL/QUESTION D'ACTUALITE/INDIVIDU/LIBERTES INDIVIDUELLES/DISPARITE HOMME/FEMME/MOBILITE SOCIALE/JUSTICE SOCIALE/CLASSE SOCIALE/ETAT/ETAT SOCIAL/CONFLIT SOCIAL/INEGALITE SOCIALE/INEGALITE SCOLAIRE/FAMILLE/RELATION SOCIALE/RELATION FAMILIALE/RESEAU SOCIAL/NATION/CONSOMMATION/PRATIQUE CULTURELLE/MEDIA/VOTE/CITOYENNETE/PARTI POLITIQUE;;;;2015-05-10
Traités européens après le traité de Lisbonne;Textes comparés;Ouvrage;PRIOLLAUD François-Xavier/SIRITZKY David;Paris;La Documentation française;2016;978-2-11-009644-9;;Français;445 p.;;;811 PRI;EUROPE/UNION EUROPENNE/TRAITE EUROPEEN/PROTOCOLE/TRAITE DE LISBONNE/DECLARATION/CHARTE/CHARTE EUROPENNE;;;;2017-03-17
Le climat à quel prix ?;La négociation climatique;Ouvrage;PERTHUIS CHRISTIAN (DE)/TROTIGNON Raphaël;Paris;Odile Jacob;2015;978-2-7381-3299-4;;;145 p.;;;323 PER;ENVIRONNEMENT/CLIMAT/CHANGEMENT CLIMATIQUE/COP21/CARBONE/CO2/PROTOCOLE DE KYOTO/RECHAUFFEMENT CLIMATIQUE/CONFERENCE CLIMATIQUE DE PARIS/TAXE CARBONE/PRINCIPE POLLUEUR-PAYEUR;;;;2019-01-22
